epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,39.7467,0.94448,2.67365,1.32661,0.60776,0.25432,0.25047,0.1823,0.91434,1.60853,1.35798,0.000166147,0.000166147,0.000166147
2,77.0541,0.92185,1.69117,1.29825,0.63873,0.31877,0.34478,0.23807,0.93437,1.33403,1.33058,0.000326224,0.000326224,0.000326224
3,113.173,0.91513,1.47505,1.28479,0.48003,0.36262,0.36646,0.25723,0.95133,1.3074,1.36885,0.000479701,0.000479701,0.000479701
4,148.973,0.91142,1.38838,1.28454,0.37755,0.44603,0.38443,0.26973,0.9342,1.21679,1.36931,0.0004703,0.0004703,0.0004703
5,184.553,0.88246,1.29136,1.25716,0.46895,0.46001,0.46013,0.31984,0.90459,1.10774,1.31071,0.0004604,0.0004604,0.0004604
6,220.061,0.87643,1.20833,1.24987,0.50798,0.46012,0.46477,0.33299,0.88149,1.09685,1.3075,0.0004505,0.0004505,0.0004505
7,255.721,0.84392,1.13557,1.23374,0.50562,0.45586,0.45721,0.32311,0.86083,1.05298,1.2841,0.0004406,0.0004406,0.0004406
8,291.462,0.83262,1.07984,1.221,0.51278,0.55823,0.52661,0.36673,0.86607,1.03526,1.27772,0.0004307,0.0004307,0.0004307
9,326.966,0.83536,1.05674,1.22385,0.48187,0.45962,0.46829,0.32455,0.84745,0.95918,1.25076,0.0004208,0.0004208,0.0004208
10,362.537,0.82858,1.01983,1.21593,0.51092,0.53409,0.52773,0.37714,0.81224,0.90185,1.22949,0.0004109,0.0004109,0.0004109
11,398.258,0.81978,0.98696,1.21381,0.56509,0.50622,0.53024,0.36907,0.8365,0.94518,1.24856,0.000401,0.000401,0.000401
12,433.856,0.8159,0.96978,1.20832,0.5976,0.54187,0.55694,0.40163,0.811,0.93885,1.23225,0.0003911,0.0003911,0.0003911
13,469.995,0.80338,0.92534,1.19943,0.55858,0.56996,0.57352,0.40745,0.78703,0.86138,1.22222,0.0003812,0.0003812,0.0003812
14,506.379,0.78576,0.91151,1.19026,0.58291,0.51834,0.52563,0.37222,0.83102,0.90838,1.24371,0.0003713,0.0003713,0.0003713
15,542.278,0.78474,0.88665,1.19206,0.60337,0.5556,0.56719,0.40282,0.80359,0.81696,1.22539,0.0003614,0.0003614,0.0003614
16,577.708,0.78333,0.88531,1.18429,0.58112,0.53232,0.55516,0.40827,0.80496,0.81179,1.23474,0.0003515,0.0003515,0.0003515
17,613.178,0.77887,0.84206,1.18287,0.69895,0.5446,0.58515,0.42453,0.7818,0.79148,1.21128,0.0003416,0.0003416,0.0003416
18,649.25,0.76041,0.82715,1.17052,0.70256,0.6133,0.66393,0.48747,0.77024,0.76045,1.19214,0.0003317,0.0003317,0.0003317
